Code,ArabicDescription,EnglishDescription,UOM,Price,Section
201020102,استبدال عمود حديدي<=10م في تربة صخرية,"Replacement of steel pole up to and including 10 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1787.0,الأعمال المدنية
201020103,استبدال عمود حديدي>10م<=15م في تربة عادية / رملية,"Replacement of steel  pole above 10 meter up to and including 15 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1753.0,الأعمال المدنية
201020104,استبدال عمود حديدي>10م<=15م في تربة صخرية,"Replacement of steel  pole above 10 meter up to and including 15 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,2099.0,الأعمال المدنية
201020105,استبدال عمود حديدي >15م<= 23م في تربة عادية / رملية,Replacement of steel pole more than 15 meter up to and including 23 meter in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing,EA,2004.0,الأعمال المدنية
201020106,استبدال عمود حديدي >15م<= 23م في تربة صخرية,Replacement of steel pole more than 15 meter up to and including 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing,EA,2362.0,الأعمال المدنية
201020107,استبدال عمود حديدي>23م في تربة عادية / رملية,Replacement of steel pole more than 23 meter in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing,EA,2390.0,الأعمال المدنية
201020108,استبدال عمود حديدي>23م في تربة صخرية,Replacement of steel pole more than 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing,EA,2855.0,الأعمال المدنية
201020109,استبدال عمود حديدي ذاتي الدعم <= 15م في تربة عادية / رملية,"Replacement of self support steel pole up to and including 15 meter, in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1780.0,الأعمال المدنية
201020110,استبدال عمود حديدي ذاتي الدعم <= 15م في تربة صخرية,"Replacement of self support steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,2175.0,الأعمال المدنية
201020111,استبدال عمود خشبي بعمود حديدي<= 15م في تربة عادية / رملية,"Replacement of wooden pole with steel pole up to and including 15 meter, in normal / sandy soil including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1599.0,الأعمال المدنية
201020112,استبدال عمود خشبي بعمود حديدي<= 15م في تربة صخرية,"Replacement of wooden pole with steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1898.0,الأعمال المدنية
201020201,استبدال عمود خرساني<=10م في تربه عادية / رملية,"Replacement of concrete pole up to and including 10 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1547.0,الشبكات الهوائية
201020202,استبدال عمود خرساني<=10م في تربه صخرية,"Replacement of concrete pole up to and including 10 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1799.0,الشبكات الهوائية
201020203,استبدال عمود خرساني>10م<=15م في تربه عادية / رملية,"Replacement of concrete pole above 10 meter up to and including 15 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing.",EA,1714.0,الشبكات الهوائية
201020204,استبدال عمود خرساني>10م<=15م في تربه صخرية,"Replacement of concrete pole above 10 meter up to and including 15 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing.",EA,2015.0,الشبكات الهوائية
201020205,استبدال عمودخرساني>15م<=25م في تربه عادية / رملية,"Replacement of concrete pole more than 15 meter up to and including 25 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,2177.0,الشبكات الهوائية
201020206,استبدال عمودخرساني>15م<=25م في تربه صخرية,"Replacement of concrete pole more than 15 meter up to and including 25 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,2549.0,الشبكات الهوائية
201020207,استبدال عمود خشبي بعمود خرساني<= 15م في تربة عادية / رملية,"Replacement of wooden pole with concrete pole up to and including 15 meter, in normal / sandy soil including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1587.0,الأعمال المدنية
201020208,استبدال عمود خشبي بعمود خرساني<= 15م في تربة صخرية,"Replacement of wooden pole with concrete pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1822.0,الأعمال المدنية
201020301,استبدال عمود جهد منخفض فايبر جلاس في تربة عادية/رمليه,"Replacement of LV Fiber Glass pole, in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1175.0,الأعمال المدنية
201020302,استبدال عمود جهد منخفض فايبر جلاس في تربة صخرية,"Replacement of LV Fiber Glass pole, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1342.0,الأعمال المدنية
201030101,إزاحة عمود حديدي<=10م في تربة عادية/رملية,"Relocation of steel pole up to and including 10 meter, in normal / sandy  soil.",EA,1619.0,الأعمال المدنية
201030102,إزاحة عمود حديدي<=10في تربة صخرية,"Relocation of steel pole up to and including 10 meter, in  rocky  soil ( that required the use of rocky excavtion equipment ( i.e. Digger ))",EA,1850.0,الأعمال المدنية
201030103,إزاحة عمود حديدي>10م<=15م في تربة عادية/رملية,"Relocation of steel pole above 10 meter up to and including 15 meter, in normal / sandy soil.",EA,1831.0,الأعمال المدنية
201030104,إزاحة عمود حديدي>10م<=15م في تربة صخرية,"Relocation of steel pole above 10 meter up to and including 15 meter, in  rocky  soil ( that required the use of rocky excavtion equipment ( i.e. Digger ))",EA,2200.0,الأعمال المدنية
201030105,إزاحة عمود حديدي >15م<= 23م في تربة عادية/رملية,Relocation of steel pole above 15 meter up to and including 23 meter in normal / sandy soil,EA,2100.0,الأعمال المدنية
201030106,إزاحة عمود حديدي >15م<=23م في تربة صخرية,Relocation of steel pole above 15 meter up to and including 23 meter in rocky  soil,EA,2472.0,الأعمال المدنية
201030107,إزاحة عمود حديدي >23م في تربة عادية/رملية,Relocation of steel pole above 23 meter in normal / sandy soil,EA,2465.0,الأعمال المدنية
201030108,إزاحة عمود حديدي >23م في تربة صخرية,Relocation of steel pole above 23 meter in rocky  soil ( that required the use of rocky excavtion equipment ( i.e. Digger )),EA,3103.0,الأعمال المدنية
201030109,إزاحة عمود حديدي ذاتي الدعم <=15م في تربة عادية/رملية,"Relocation of self support steel pole up to and including 15 meter, in normal / sandy  soil",EA,1880.0,الأعمال المدنية
201030110,إزاحة عمود حديدي ذاتي الدعم <=15م في تربة صخرية,"Relocation of self support steel pole up to and including 15 meter, in rocky  soil ( that required the use of rocky excavtion equipment ( i.e. Digger ))",EA,2280.0,الأعمال المدنية
201030201,إزاحة عمود خرساني<=10م في تربة عادية/رملية,"Relocation of concrete pole up to and including 10 meter, in normal / sandy soil.",EA,1572.0,الأعمال المدنية
201030202,إزاحة عمود خرساني<=10م في تربة صخرية,"Relocation of concrete pole up to and including 10 meter, in rocky  soil ( that required the use of rocky excavtion equipment ( i.e. Digger ))",EA,1832.0,الأعمال المدنية
201030203,إزاحة عمود خرساني>10م<=15م في تربة عادية/رملية,"Relocation of concrete pole above 10 meter up to and including 15 meter,  in normal / sandy soil.",EA,1756.0,الأعمال المدنية
201030204,إزاحة عمود خرساني>10م<=15م في تربة صخرية,"Relocation of concrete pole above 10 meter up to and including 15 meter, in rocky  soil",EA,2047.0,الأعمال المدنية
201030205,إزاحة عمود خرساني>15م<=25م في تربة عادية/رملية,"Relocation of concrete pole above 15 meter up to and including 25 meter, in normal / sandy soil.",EA,2214.0,الأعمال المدنية
201030206,إزاحة عمود خرساني>15م<=25م في تربة صخرية,"Relocation of concrete pole above 15 meter up to and including 25 meter, in rocky  soil ( that required the use of rocky excavtion equipment ( i.e. Digger ))",EA,2588.0,الأعمال المدنية
201030301,إزاحة عمود جهد منخفض فايبر جلاس، في تربة عادية/رملية,"Relocation of LV Fiber Glass pole, in normal / sandy  soil.",EA,1235.0,الأعمال المدنية
201030302,إزاحة عمود جهد منخفض فايبر جلاس، في تربة صخرية,"Relocation of LV Fiber Glass pole, in  rocky ( that required the use of rocky excavtion equipment ( i.e. Digger ))",EA,1388.0,الأعمال المدنية
201040001,إزالة عمود حديدي/داعم <=15م,"Removal of any type steel pole or support pole, up to and including 15 meter, intact by breaking  the concrete foundation including removal of pole framing  and accessories",EA,578.0,الشبكات الهوائية
201040002,إزالة عمود حديدي >15م,"Removal of any type steel pole, above 15 meter, intact by breaking the concrete foundation including removal of pole framing and accessories",EA,811.0,الشبكات الهوائية
201040003,إزالة عمود خرساني<=15م,"Removal of any type concrete pole, up to and including 15 meter, including removal of pole framing  and accessories",EA,645.0,الشبكات الهوائية
201040004,إزالة عمود خرساني>15م,"Removal of any type concrete pole, above 15 meter, including removal of pole framing  and accessories",EA,842.0,الشبكات الهوائية
201040005,ازالة عمود خشبي اي مقاس وباي تربة,"Removal of any size wooden pole, including removal of pole framing and accessories in any type of soil",EA,431.0,الأعمال المدنية
201040006,إزالة عمود جهد منخفض فايبر جلاس وباي تربة,"Removal of  LV Fiber Glass pole, including removal of pole framing  and accessories, in any type of soil",EA,623.0,الأعمال المدنية
201050001,تركيب عمود حديدي/خشبي داعم لماسورة بلاستيكية,"Erection of wooden / steel pole as support to PVC pipe / cables, crossing canals / water drains including concrete block support and fixing the pipe with the pole ( excluding supplying of the pipe )",EA,582.0,الشبكات الهوائية
201050002,إزالة عمود حديدي/خشبي داعم لماسورة بلاستيكية,"Removal of wooden or steel pole as support to PVC pipe / cables, crossing canals / water drains including removal of concrete block support",EA,341.0,الشبكات الهوائية
201050003,إزالة برج توزيع حديدي أي مقاس,"Removal of an existing lattice distribution tower, any size",EA,5674.0,عام
201050004,إزاحة عمود خشبي أي مقاس وبأي نوع تربة,"Relocation of any size wooden pole, in any type of soil",EA,1152.0,الأعمال المدنية
201060001,توريد واستخدام عامل تفتيت الصخور فائقة الصمت لحفرية العمود الواحد,Supplying and use of high range soundless cracking agent for one pole hole when excavating in  marble solid rock area or similar ( excluding pole installation ),EA,1857.0,الأعمال المدنية
201060002,تركيب لوحة ترقيم/خطر/القوس الكهربائي /  تعريف الأصول ( باركود )/ترتيب أطوار/سلك شائك لمعدة هوائية قائمة/عمود قائم,Installation of pole barbed wire /any plate like  number / danger / arch flash / Asset tag) / phase plate / reflection plate for an existing OH equipment / pole as required,EA,56.0,أعمال المعدات
201060003,توريد وتركيب لوحة ترقيم/خطر /القوس الكهربائي /  تعريف الأصول ( باركود )/ترتيب أطوار /سلك شائك لمعدة هوائية قائمة/عمود قائم,Supplying and Installation of pole barbed wire /any plate like  number / danger / arch flash / Asset tag) / phase plate / reflection plate for an existing OH equipment / pole as required,EA,107.0,أعمال المعدات
201060004,توريد وتركيب ماسورة حماية بي في سي لكيبل قائم على عمود,Supplying and installation of cable guard (protection PVC pipe) with all its accessories on an existing pole including disconnection / reconnection and laying of the cable inside the pipe ( excluding new terminations works,M,110.0,الشبكات الهوائية
201060005,تعديل عمود مائل أي نوع,"Straightning of an existing leaning steel / concrete / wooden / fiber glass pole, any type, including necessary  re-sagging of conductors, excavation and reinstatement",EA,707.0,الشبكات الهوائية
201060006,تحسين قاعدة عمود قائم أي مقاس,"Improvement of any size existing pole foundation by breaking and removal of damaged portions of the foundation, supplying and casting of concrete excavation, backfilling, tamping and coping as necessary",EA,671.0,الشبكات الهوائية
