
,,WORKING UNIT RATES - PRICING ATTACHMENT,,,,,RFx NO. 4000083770,,,,
,4000083770,102000001,Breakdown,الرفع المساحي لمحطات التوزيع الرئيسية ,"Field survey and Conversion of Grid Stations (Location and Attributes/Image) should be collected and converted with its associated networks into GIS data as per the approved Unified Data Moudul (UDM) 
الرفع المساحي لمحطات التوزيع الرئيسية وتحويله على نظم المعلومات الجغرافية كشبكه كهربائية",,EA,137.00,SAR,,Unit Rate
,4000083770,102000002,Breakdown,الرفع المساحي للمعدات الارضية,"Field survey of UG equipment (Location and Attributes/Image) should be collected and converted into GIS as an electrical network ( Substations / Boundary - Transformer - LVDB - RMU - Distribution Box - Medium Voltage Switches)
الرفع المساحي للمعدات الارضية ( موقع المحطات الفرعية غرفه / حيز ( بدون رفع المعدات الداخليه ) او المحولات اولوحات التوزيع الرئيسية / الفرعية او الوحدات الحلقية او مفاتيح الجهد المتوسط ) وتحويله على نظم المعلومات الجغرافية كشبكه كهربائية",,EA,35.00,SAR,,Unit Rate
,4000083770,102000003,Breakdown,الرفع المساحي لعداد واحد ,"Field survey of a Customer Meter (Location and Attributes/Image) should be collected and then converteded with its Source of Supply (C2SOS) into GIS data as per the Approved Unified Data Moudul (UDM) 
الرفع المساحي لعداد واحد مع توضيح مصدر التغذية وتحويله على نظم المعلومات الجغرافية كشبكه كهربائية ",,EA,46.00,SAR,,Unit Rate
,4000083770,102000004,Breakdown,الرفع المساحي للشبكات الهوائية شاملا رفع المعدات المركبة,"Field survey of Overhead Networks with its Components (Location and Attributes/Image) should be collected and converted with its associated network into GIS data as per the approved Unified Data Moudul ( UDM ) 
الرفع المساحي للشبكات الهوائية شاملا رفع المعدات المركبة على الشبكة وتحويله على نظم المعلومات الجغرافية كشبكه كهربائية ",,KM,556.00,SAR,,Unit Rate
,4000083770,102000005,Breakdown,الرفع المساحي للشبكات الهوائية بدون رفع المعدات المركبة,"Field survey of Overhead Networks without its components (Location and Attributes/Image) should be collected and converted with its associated network into GIS data as per the approved Unified Data Moudul ( UDM ) 
الرفع المساحي للشبكات الهوائية بدون رفع المعدات المركبة على الشبكة وتحويله على نظم المعلومات الجغرافية كشبكه كهربائية ",,KM,59.00,SAR,,Unit Rate
,4000083770,102000006,Breakdown,الرفع المساحي للمعدات الهوائية ,"Field survey of overhead equipment (Location and Attributes/Image) should be collected and converted into GIS as part of the  electrical network
الرفع المساحي للمعدات الهوائية وتحويله على نظم المعلومات الجغرافية كجزء من الشبكة الكهربائية 
",,EA,35.00,SAR,,Unit Rate
,4000083770,200000000,Description, أعمال الشبكات الهوائية ,"OVERHEAD NETWORKS WORKS  
 Considering the above description of construction and maintenance of distribution networks item No.(A1)
 أعمال الشبكات الهوائية  
 مع الأخذ بالأعتبار الوصف المذكور في البند أعلاه رقم ( A1 ) إنشاء وصيانة شبكات التوزيع",,,,,,
,4000083770,201000000,Description, أعمال أعمدة الشبكات الهوائية ," OVERHEAD NETWORKS POLES WORKS
 أعمال أعمدة الشبكات الهوائية  ",,,,,,
,4000083770,201010000,Description,تركيب أعمدة الشبكات الهوائية ,"ERECTION OF OVERHEAD NETWORKS POLES
تركيب اعمدة الشبكات الهوائية ",,,,,,
,4000083770,201010100,Description,تركيب الأعمدة الحديدية ,"ERECTION OF STEEL POLES  
    Excavation of pits, pole setting, supplying and casting concrete foundation, making coping, backfilling, tamping, fixing pole accessories ( numbers, danger and  phase  plates, barbed wire,Asset tag) ), and necessary reinstatement, excluding pole grounding and stringing / re-sagging of conductors, Including disconnection / reconnection works 
تركيب الأعمدة الحديدية  
  حفر ووضع العمود وتوريد وصب الخرسانة بما فيها أسفل العمود (الفرشة) وعمل حلية العمود والردم والدك، وتركيب ملحقات العمود مثل لوحات الأرقام والخطر وعلامات/ترميز الفازات و سلك شائك ( مانع التسلق ) وتعريف الأصول ( باركود ) ، وإعادة الوضع كما كان عليه، البند لا يشمل اعمال التأريض وشد / اعادة شد الموصلات شاملا أعمال الفصل والتوصيل",,,,,,
,4000083770,201010101,Breakdown,تركيب عمود حديدي <= 10م في تربة عادية/رملية," Erection of steel pole, up to and including 10 meter, in normal / sandy soil 
تركيب عمود حديدي حتى ويشمل 10 متر، في تربة عادية / رملية",,EA,"1,320.00",SAR,,Unit Rate
,4000083770,201010102,Breakdown,تركيب عمود حديدي <= 10 م في تربة صخرية," Erection of steel  pole, up to and including 10 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))
تركيب عمود حديدي حتى ويشمل 10 متر ، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري  مثل الدقاق)  ",,EA,"1,637.00",SAR,,Unit Rate
,4000083770,201010103,Breakdown,تركيب عمود حديدي>10م<= 15م في تربة عادية/رملية,"Erection of steel pole, more than 10 meter up to and including 15 meter, in normal / sandy soil 
تركيب عمود حديدي أكبر من 10 متر حتى ويشمل 15 متر ، في تربة عادية / رملية",,EA,"1,573.00",SAR,,Unit Rate
,4000083770,201010104,Breakdown,تركيب عمود حديدي>10م<= 15م في تربة صخرية,"Erection of steel pole, more than 10 meter up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) 
 تركيب عمود حديدي أكبر من 10  متر حتى ويشمل 15 متر، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق) ",,EA,"1,852.00",SAR,,Unit Rate
,4000083770,201010105,Breakdown,تركيب عمود حديدي >15م <=23م في تربة عادية/رملية,"Erection of steel pole more than 15 meter up to and including 23 meter in normal / sandy soil 
     تركيب عمود حديدي أكبر من 15 متر حتى ويشمل 23 متر في تربة عادية / رملية",,EA,"1,680.00",SAR,,Unit Rate
,4000083770,201010106,Breakdown,تركيب عمود حديدي >15م <=23م في تربة صخرية,"Erection of steel pole more than 15 meter up to and including 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))      
تركيب عمود حديدي أكبر من 15 متر حتى ويشمل 23 متر، في تربة  صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق) ",,EA,"2,047.00",SAR,,Unit Rate
,4000083770,201010107,Breakdown,تركيب عمود حديدي >23م في تربة عادية/رملية,"Erection of steel pole more than 23 meters in normal / sandy soil 
    تركيب عمود حديدي أكبرمن 23 متر، في تربة عادية / رملية",,EA,"2,136.00",SAR,,Unit Rate
,4000083770,201010108,Breakdown,تركيب عمود حديدي >23م في تربة صخرية," Erection of steel pole more than 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))
(تركيب عمود حديدي أكبر من 23 متر، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق )",,EA,"2,629.00",SAR,,Unit Rate
,4000083770,201010109,Breakdown,تركيب عمود حديدي ذاتي الدعم<=15م في تربة عادية/رملية,"Erection of Self support steel pole up to and including 15 meter, in normal / sandy soil
 تركيب عمود حديدي ذاتي الدعم حتى ويشمل 15 متر، في تربة عادية /رملية",,EA,"1,642.00",SAR,,Unit Rate
