,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Riyadh City Electricity Department
Schedule ""C"" - Pricing Attachment",,,,,,RFx No. 4000069347,,
,,,,,,,,
??? ?????,??? ?????,?????????? ???????,?????????? ?????? ,??????,??????,??? ?????,??? ??????,??????
Item ,Line type ,Short Description ,Long Description,UOM ,Currency,Payment Type,Unit Price           ,QTY
A1,Description,"????? ?????? ????? ???????
","CONSTRUCTION AND MAINTENANCE OF DISTRIBUTION NETWORKS  
   Including providing all necessary manpower, equipment and tools to loading and transporting materials from any designated warehouse by company to work site and perform the work as per the scope of  work and companystandards including getting all required(R.O.W) and permissions to perform the required works and payment of related fees, preparing, updating and submitting of the drawings "" As Built "" on hard and electronic copies, including definition of coordinates, data and photos of related equipment, cables, poles and meters  with at least two digital photos of equpment using SEC unified geographical information system format (ArcGIS/ArcFM) and attributes compatible with Unified Data Model (UDM) and location accuracy of 25 cm and with full compliance of occupational safety and health requirements as per SEC requirments . The statement in this item is applied to all contract items mentioned blow
102000002,Breakdown,????? ??????? ??????? ???????,"Field survey of one of below equipment (Location and Attributes/Image) should be collected and converted into GIS as an electrical network ( Substations / Boundary - Transformer - LVDB - RMU - Distribution Box - Medium Voltage Switches)
????? ??????? ??????? ??????? ( ???? ??????? ??????? ???? / ??? ( ???? ??? ??????? ???????? ) ?? ???????? ??????? ??????? ???????? / ??????? ?? ??????? ??????? ?? ?????? ????? ??????? ) ??????? ??? ??? ????????? ????????? ????? ????????",EA,SAR,Unit Rate,30.00,
102000003,Breakdown,????? ??????? ????? ???? ,"Field survey of one Customer Meter (Location and Attributes/Image) should be collected and then converteded with its associated network  into GIS data as per the ApprovedUnified Data Moudul (UDM) 
????? ??????? ????? ???? ?? ????? ???? ??????? ??????? ??? ??? ????????? ????????? ????? ???????? ",EA,SAR,Unit Rate,40.00,
102000004,Breakdown,????? ??????? ??????? ???????? ????? ??? ??????? ???????,"Field survey of Overhead Networks with its Components (Location and Attributes/Image) should be collected and converted with its associated network into GIS data as per the approved Unified Data Moudul ( UDM ) 
????? ??????? ??????? ???????? ????? ??? ??????? ??????? ??? ?????? ??????? ??? ??? ????????? ????????? ????? ???????? ",KM,SAR,Unit Rate,500.00,
102000005,Breakdown,????? ??????? ??????? ???????? ???? ??? ??????? ???????,"Field survey of Overhead Networks without components (Location and Attributes/Image) should be collected and converted with its associated network into GIS data as per the approved Unified Data Moudul ( UDM ) 
????? ??????? ??????? ???????? ???? ??? ??????? ??????? ??? ?????? ??????? ??? ??? ????????? ????????? ????? ???????? ",KM,SAR,Unit Rate,50.00,
102000006,Breakdown,????? ??????? ??????? ???????? ,"Field survey of overhead equipment (Location and Attributes/Image) should be collected and converted into GIS as an electrical network

????? ??????? ??????? ???????? ??????? ??? ??? ????????? ????????? ????? ????????
",EA,SAR,Unit Rate,30.00,
200000000,Description, ????? ??????? ???????? ,"OVERHEAD NETWORKS WORKS  
 Considering the above description of construction and maintenance of distribution networks item No.(A1)
 ????? ??????? ????????  
 ?? ????? ????????? ????? ??????? ?? ????? ????? ??? ( A1 ) ????? ?????? ????? ???????",,,,,
201000000,Description, ????? ????? ??????? ???????? ," OVERHEAD NETWORKS POLES WORKS
 ????? ????? ??????? ????????  ",,,,,
201010000,Description,????? ????? ??????? ???????? ,"ERECTION OF OVERHEAD NETWORKS POLES
????? ????? ??????? ???????? ",,,,,
201010100,Description,????? ??????? ???????? ,"ERECTION OF STEEL POLES  
    Excavation of pits, pole setting, supplying and casting concrete foundation, making coping, backfilling, tamping, fixing pole accessories ( numbers, danger and  phase  plates, barbed wire ), and necessary reinstatement, excluding pole grounding and stringing / re-sagging of conductors 
????? ??????? ????????  
  ??? ???? ?????? ?????? ??? ???????? ??? ???? ???? ?????? (??????) ???? ???? ?????? ?????? ?????? ?????? ?????? ?????? ??? ????? ??????? ?????? ?????? ??????? ? ??? ???? ( ???? ?????? ) ? ?????? ????? ??? ??? ????? ????? ?? ???? ????? ??????? ??? / ????? ?? ????????",,,,,
201010101,Breakdown,????? ???? ????? <= 10? ?? ???? ?????/?????," Erection of steel pole, up to and including 10 meter, in normal / sandy soil 
????? ???? ????? ??? ????? 10 ???? ?? ???? ????? / ?????",EA,SAR,Unit Rate,1058.00,
201010102,Breakdown,????? ???? ????? <= 10 ? ?? ???? ?????," Erection of steel  pole, up to and including 10 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))
????? ???? ????? ??? ????? 10 ??? ? ?? ???? ????? (???? ?????? ???? ????? ????? ??????  ??? ??????)  ",EA,SAR,Unit Rate,1328.00,
201010103,Breakdown,????? ???? ?????>10?<= 15? ?? ???? ?????/?????,"Erection of steel pole, more than 10 meter up to and including 15 meter, in normal / sandy soil 
????? ???? ????? ???? ?? 10 ??? ??? ????? 15 ??? ? ?? ???? ????? / ?????",EA,SAR,Unit Rate,1253.00,
201010104,Breakdown,????? ???? ?????>10?<= 15? ?? ???? ?????,"Erection of steel pole, more than 10 meter up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) 
 ????? ???? ????? ???? ?? 10  ??? ??? ????? 15 ???? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????) ",EA,SAR,Unit Rate,1498.00,
201010105,Breakdown,????? ???? ????? >15? <=23? ?? ???? ?????/?????,"Erection of steel pole more than 15 meter up to and including 23 meter in normal / sandy soil 
     ????? ???? ????? ???? ?? 15 ??? ??? ????? 23 ??? ?? ???? ????? / ?????",EA,SAR,Unit Rate,1369.00,
201010106,Breakdown,????? ???? ????? >15? <=23? ?? ???? ?????,"Erection of steel pole more than 15 meter up to and including 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))      
????? ???? ????? ???? ?? 15 ??? ??? ????? 23 ???? ?? ????  ????? (???? ?????? ???? ????? ????? ?????? ??? ??????) ",EA,SAR,Unit Rate,1685.00,
201010107,Breakdown,????? ???? ????? >23? ?? ???? ?????/?????,"Erection of steel pole more than 23 meters in normal / sandy soil 
    ????? ???? ????? ?????? 23 ???? ?? ???? ????? / ?????",EA,SAR,Unit Rate,1757.00,
201010108,Breakdown,????? ???? ????? >23? ?? ???? ?????," Erection of steel pole more than 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))
(????? ???? ????? ???? ?? 23 ???? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ?????? )",EA,SAR,Unit Rate,2173.00,
201010109,Breakdown,????? ???? ????? ???? ?????<=15? ?? ???? ?????/?????,"Erection of Self support steel pole up to and including 15 meter, in normal / sandy soil
 ????? ???? ????? ???? ????? ??? ????? 15 ???? ?? ???? ????? /?????",EA,SAR,Unit Rate,1332.00,
201010110,Breakdown,????? ???? ????? ???? ?????<=15? ?? ???? ?????,"Erection of self support steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))  
  ????? ???? ????? ???? ????? ??? ?????  15 ???? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????) ",EA,SAR,Unit Rate,1559.00,
201010200,Description,????? ??????? ????????? ,"ERECTION OF CONCRETE POLES  
   Excavation of pits, pole setting, backfilling, tamping in hard soil, fixing pole accessories ( numbers, danger and phase plates, barbed wire) and  necessary reinstatement, excluding ( pole grounding,  stringing / re-sagging of conductors and casting concrete fundation for the  case of poor / soft soil 
 ????? ??????? ?????????   
  ??? ???? ?????? ?????? ????? ?? ??? ?????? ??????? ?????? ?????? ?????? ( ????? ??????? ?????? ?????? ??????? ? ??? ???? (???? ??????))  ?????? ????? ??? ??? ????? ????? ?? ???? ( ????? ??????? ? ?? / ????? ?? ???????? ? ????? ??? ???????? ?????? ?????? ?? ??? ?????? ??????? ?????? ) ??? ???? ???? ?????? ???  ",,,,,
201010201,Breakdown,????? ???? ??????<=10? ?? ???? ?????/????? ,"Erection of concrete pole, up to and including 10 meter, in normal / sandy soil
  ????? ???? ?????? ??? ????? 10???? ?? ???? ????? / ?????",EA,SAR,Unit Rate,1073.00,
201010202,Breakdown,????? ???? ??????<=10? ?? ???? ?????,"Erection of concrete  pole, up  to and including 10 meter, in  rocky  soil ( that required the use of rocky excavtion equipment ( ie. Digger )) 
  ????? ???? ?????? ??? ????? 10???? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????)",EA,SAR,Unit Rate,1303.00,
201010203,Breakdown,????? ???? ??????>10?<= 15? ?? ???? ?????/????? ,"Erection of concrete pole, more than 10 meter up to and including 15 meter, in normal / sandy soil.
 ????? ???? ?????? ???? ?? 10??? ??? ????? 15 ???? ?? ???? ????? / ????? ",EA,SAR,Unit Rate,1250.00,
201010204,Breakdown,????? ???? ??????>10?<= 15? ?? ???? ?????,"Erection of concrete pole, more than 10 meter up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) 
  ????? ???? ?????? ???? ?? 10??? ??? ????? 15???? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????) ",EA,SAR,Unit Rate,1470.00,
201010205,Breakdown,????? ???? ??????>15?<= 25? ?? ???? ?????/????? ,"Erection of concrete pole more than 15 meter up to and including 25 meter in normal / sandy soil 
  ????? ???? ?????? ???? ?? 15??? ??? ????? 25 ???? ?? ???? ????? / ????? ",EA,SAR,Unit Rate,1603.00,
201010206,Breakdown,????? ???? ??????>15?<= 25? ?? ???? ?????,"Erection of concrete pole more than 15 meter up to and including 25 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))
    ????? ???? ?????? ???? ?? 15 ??? ??? ????? 25 ???? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????)",EA,SAR,Unit Rate,1887.00,
201020000,Description,??????? ????? ??????? ????????,"REPLACEMENT OF OVERHEAD NETWORKS POLES    
      Replacement of existing poles in the same work location, including disconnection, dismantling, returning of removed materials to company’s warehouses, installation / erection of new materials,sagging and re-saging of conductors, clamping and installation / reinstallation of all other related materials such as lightning  arresters, and necessary reinstatement, disconnection / reconnection works ( excluding replacement of related accessories ) 
??????? ????? ??????? ????????
 ??????? ????? ????? ?? ??? ?????? ??? ???? ?? ????? ??? ?????? ?????? ???????? ????????? ??????? ?????? ?????? ??????? ?????? ????? ??? ?? ??? ???? ?? ?? ?????? (?????) ???????? ?????? ?????? / ????? ????? ???? ???????? ??? ?????? ??????? ?????? ????? ????? ????? ???????? (????? ?? ???? ??????? ????????)       ",,,,,
201020100,Description,??????? ??????? ????????,"REPLACEMENT OF OVERHEAD NETWORKS STEEL POLES 
??????? ??????? ????????",,,,,
201020101,Breakdown,??????? ???? ?????<=10? ?? ???? ????? / ?????,"Replacement of steel pole up to and including 10 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing
 ??????? ???? ????? ??? ????? 10??? ?? ???? ????? / ?????? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1258.00,
201020102,Breakdown,??????? ???? ?????<=10? ?? ???? ?????,"Replacement of steel pole up to and including 10 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing
 ??????? ???? ????? ??? ????? 10??? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????)? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1453.00,
201020103,Breakdown,??????? ???? ?????>10?<=15? ?? ???? ????? / ????? ,"Replacement of steel  pole above 10 meter up to and including 15 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing
  ??????? ???? ????? ???? ?? 10??? ??? ????? 15??? ?? ???? ????? / ?????? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1417.00,
201020104,Breakdown,??????? ???? ?????>10?<=15? ?? ???? ?????,"Replacement of steel  pole above 10 meter up to and including 15 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing
  ??????? ???? ????? ???? ?? 10??? ??? ????? 15??? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????)? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1708.00,
201020105,Breakdown,??????? ???? ????? >15?<= 23? ?? ???? ????? / ????? ,"Replacement of steel pole more than 15 meter up to and including 23 meter in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
??????? ???? ????? ???? ?? 15??? ??? ????? 23 ??? ?? ???? ????? / ?????? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1656.00,
201020106,Breakdown,??????? ???? ????? >15?<= 23? ?? ???? ?????,"Replacement of steel pole more than 15 meter up to and including 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
??????? ???? ????? ???? ?? 15??? ??? ????? 23 ??? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????)? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1961.00,
201020107,Breakdown,??????? ???? ?????>23? ?? ???? ????? / ?????,"Replacement of steel pole more than 23 meter in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
     ??????? ???? ????? ???? ?? 23??? ?? ???? ????? / ?????? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1970.00,
201020108,Breakdown,??????? ???? ?????>23? ?? ???? ?????,"Replacement of steel pole more than 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
     ??????? ???? ????? ???? ?? 23??? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????)? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,2368.00,
